PeakID (cmd=annotatePeaks.pl shared_777_mESC_peaks_EGFP_clone2_3_over_21_3163_mm10_vM25.bed mm10),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
607,chr12,57575976,57576619,+,0,NA,"exon (NM_001312644, exon 2 of 32)","exon (NM_001312644, exon 2 of 32)",12182,NM_001312644,70846,,NM_001037743,ENSMUSG00000046782,Ttc6,4921506M07Rik|EG639426|Gm69|Gm9813,tetratricopeptide repeat domain 6,protein-coding
55,chr1,37998118,37998672,+,0,NA,"intron (NM_198303, intron 1 of 23)",CpG,385,NM_198303,226982,,NM_198303,ENSMUSG00000026083,Eif5b,A030003E17Rik|IF2,eukaryotic translation initiation factor 5B,protein-coding
1890,chr3,142765055,142765539,+,0,NA,promoter-TSS (NM_145546),promoter-TSS (NM_145546),50,NM_145546,229906,,NM_145546,ENSMUSG00000028271,Gtf2b,-,general transcription factor IIB,protein-coding
3113,chrX,101695975,101698056,+,0,NA,"intron (NM_001382234, intron 1 of 4)",CpG,1179,NM_001382234,115489118,,NM_001382234,,Gcna,Gcna1|Gm52429,"predicted gene, 52429",protein-coding
1180,chr17,15577071,15577643,+,0,NA,Intergenic,Intergenic,-13003,NM_001361436,213389,,NM_144809,ENSMUSG00000051977,Prdm9,Dsbc1|G1-419-29|Meisetz|PRDM9-B|Rcr1|repro7,PR domain containing 9,protein-coding
553,chr11,120672583,120673127,+,0,NA,promoter-TSS (NM_026877),promoter-TSS (NM_026877),-118,NM_001363055,68938,,NM_026877,ENSMUSG00000025142,Aspscr1,1190006K01Rik|ASPC|ASPCR1|ASPL|ASPS|RCC17|TUG,"ASPSCR1 tether for SLC2A4, UBX domain containing",protein-coding
1023,chr15,82223707,82223997,+,0,NA,"exon (NM_001357758, exon 2 of 3)","exon (NM_001357758, exon 2 of 3)",528,NM_001357758,72049,,NM_028075,ENSMUSG00000068105,Tnfrsf13c,2010006P15Rik|BAFF-R|Baffr|Bcmd|Bcmd-1|Bcmd1|Lvis22,"tumor necrosis factor receptor superfamily, member 13c",protein-coding
1901,chr3,146684929,146685347,+,0,NA,"intron (NM_001368726, intron 1 of 3)",CpG,347,NM_001368726,75015,,NM_029144,ENSMUSG00000048652,Samd13,1700013A07Rik|1700095G21Rik|4930483N21Rik|Gm1652,sterile alpha motif domain containing 13,protein-coding
702,chr13,12650127,12650771,+,0,NA,promoter-TSS (NR_003568),promoter-TSS (NR_003568),-54,NR_003568,664862,,NR_003568,,Gpr137b-ps,2310041G17Rik,"G protein-coupled receptor 137B, pseudogene",pseudo
2546,chr7,57509269,57509993,+,0,NA,"intron (NM_001362162, intron 1 of 10)",CpG,378,NM_176942,110886,,NM_176942,ENSMUSG00000055078,Gabra5,A230018I05Rik,gamma-aminobutyric acid type A receptor subunit alpha 5,protein-coding
1063,chr15,100636287,100637107,+,0,NA,"non-coding (NR_104338, exon 1 of 4)","non-coding (NR_104338, exon 1 of 4)",243,NR_104337,207818,,NM_174992,ENSMUSG00000053559,Smagp,-,small cell adhesion glycoprotein,protein-coding
575,chr12,22030454,22030868,+,0,NA,Intergenic,CpG,125985,NR_136920,100043416,,NM_001004167,ENSMUSG00000093846,Gm4425,EG432637|Gm5433,KRAB-domain protein pseudogene,pseudo
503,chr11,102407616,102408063,+,0,NA,promoter-TSS (NM_026542),promoter-TSS (NM_026542),-322,NM_026542,68066,,NM_026542,ENSMUSG00000018677,Slc25a39,3010027G13Rik|D11Ertd333e,"solute carrier family 25, member 39",protein-coding
363,chr11,58103379,58104873,+,0,NA,promoter-TSS (NM_001363086),promoter-TSS (NM_001363086),-103,NM_001356477,69125,,NM_026949,ENSMUSG00000020515,Cnot8,1500015I04Rik|1810022F04Rik,"CCR4-NOT transcription complex, subunit 8",protein-coding
1051,chr15,99055435,99056467,+,0,NA,"intron (NM_013639, intron 1 of 7)","intron (NM_013639, intron 1 of 7)",777,NM_013639,19132,,NM_013639,ENSMUSG00000023484,Prph,Prph1,peripherin,protein-coding
579,chr12,24680621,24680968,+,0,NA,"exon (NM_138686, exon 1 of 5)","exon (NM_138686, exon 1 of 5)",1001,NM_001004455,12879,,NM_138686,ENSMUSG00000062563,Cys1,2900006B19Rik|Ccap|ck|cpk,cystin 1,protein-coding
1978,chr4,88790929,88791400,+,0,NA,promoter-TSS (NM_001243166),promoter-TSS (NM_001243166),-226,NM_001243166,545653,,NM_001243166,ENSMUSG00000099420,Gm13279,-,predicted gene 13279,protein-coding
1704,chr2,164167982,164168746,+,0,NA,"exon (NM_008435, exon 3 of 4)","exon (NM_008435, exon 3 of 4)",2749,NM_008435,16538,,NM_008435,ENSMUSG00000040164,Kcns1,Kv9.1,"K+ voltage-gated channel, subfamily S, 1",protein-coding
249,chr10,80386237,80387296,+,0,NA,"exon (NM_198615, exon 1 of 2)","exon (NM_198615, exon 1 of 2)",885,NM_198615,237400,,NM_198615,ENSMUSG00000048696,Mex3d,Rkhd1,mex3 RNA binding family member D,protein-coding
2153,chr5,30114757,30115052,+,0,NA,"exon (NM_001167879, exon 4 of 6)","exon (NM_001167879, exon 4 of 6)",-8818,NM_001256263,433868,,NM_001256263,ENSMUSG00000086815,3110082J24Rik,-,RIKEN cDNA 3110082J24 gene,ncRNA
2259,chr5,132125116,132125128,+,0,NA,"intron (NM_001363480, intron 2 of 19)",L1Md_T|LINE|L1,244853,NR_040704,75369,,NR_040704,ENSMUSG00000105773,4930563F08Rik,-,RIKEN cDNA 4930563F08 gene,ncRNA
1221,chr17,33908948,33909584,+,0,NA,promoter-TSS (NM_001199733),promoter-TSS (NM_001199733),-88,NR_045146,407803,,NR_045146,ENSMUSG00000092564,BC051226,-,cDNA sequence BC051226,ncRNA
921,chr14,70176572,70176923,+,0,NA,promoter-TSS (NM_001253736),promoter-TSS (NM_001253736),68,NM_001253736,213019,,NM_145978,ENSMUSG00000022090,Pdlim2,4732462F18Rik|Slim,PDZ and LIM domain 2,protein-coding
2746,chr8,84616937,84617413,+,0,NA,"intron (NM_001252059, intron 36 of 45)",CpG,45677,NM_010499,15936,,NM_010499,ENSMUSG00000053560,Ier2,Ch1|Pip92,immediate early response 2,protein-coding
746,chr13,52929267,52929639,+,0,NA,"intron (NM_016709, intron 1 of 9)",CpG,224,NM_016709,11992,,NM_016709,ENSMUSG00000021460,Auh,-,AU RNA binding protein/enoyl-coenzyme A hydratase,protein-coding
1118,chr16,36875146,36875720,+,0,NA,promoter-TSS (NM_134111),promoter-TSS (NM_134111),-607,NM_134111,106389,,NM_134111,ENSMUSG00000022838,Eaf2,FESTA-L|FESTA-S|Festa|Traits|U19,ELL associated factor 2,protein-coding
156,chr1,163929668,163930475,+,0,NA,"5' UTR (NM_001357426, exon 1 of 14)","5' UTR (NM_001357426, exon 1 of 14)",306,NM_028776,240880,,NM_028776,ENSMUSG00000026584,Scyl3,1200016D23Rik|6030457O16|Pace1,SCY1-like 3 (S. cerevisiae),protein-coding
2231,chr5,113335331,113335606,+,0,NA,Intergenic,Intergenic,2177,NR_106089,102466821,,NR_106089,ENSMUSG00000104840,Mir7230,mmu-mir-7230,microRNA 7230,ncRNA
2754,chr8,85493247,85493490,+,0,NA,"intron (NM_173866, intron 2 of 11)","intron (NM_173866, intron 2 of 11)",792,NM_173866,108682,,NM_173866,ENSMUSG00000031700,Gpt2,4631422C05Rik|ALT2,glutamic pyruvate transaminase (alanine aminotransferase) 2,protein-coding
2987,chr9,79792966,79793328,+,0,NA,promoter-TSS (NR_040734),promoter-TSS (NR_040734),283,NM_133718,69981,,NM_133718,ENSMUSG00000032328,Tmem30a,2010200I23Rik|Cdc50a|D9Wsu20e,transmembrane protein 30A,protein-coding
2580,chr7,84151104,84151666,+,0,NA,promoter-TSS (NR_169135),promoter-TSS (NR_169135),508,NM_133722,70178,,NM_133722,ENSMUSG00000038459,Abhd17c,2210412D01Rik|Fam108c|Fam108c1,abhydrolase domain containing 17C,protein-coding
2655,chr7,142967860,142968975,+,0,NA,"exon (NM_008554, exon 2 of 3)","exon (NM_008554, exon 2 of 3)",847,NM_008554,17173,,NM_008554,ENSMUSG00000009248,Ascl2,2410083I15Rik|Mash2|bHLHa45,achaete-scute family bHLH transcription factor 2,protein-coding
2189,chr5,69531811,69532292,+,0,NA,"intron (NM_023784, intron 2 of 5)",L1Md_T|LINE|L1,10596,NM_023784,75581,,NM_023784,ENSMUSG00000029158,Yipf7,2310016N21Rik|Yip1b,"Yip1 domain family, member 7",protein-coding
3107,chrX,99820875,99821339,+,0,NA,"exon (NM_001081283, exon 1 of 3)","exon (NM_001081283, exon 1 of 3)",943,NM_001081283,620592,,NM_001081283,ENSMUSG00000071719,Nalf2,EG620592|Fam155b|Tmem28|Tnen28,NALCN channel auxiliary factor 2,protein-coding
1215,chr17,31637260,31637750,+,0,NA,promoter-TSS (NM_001271353),promoter-TSS (NM_001271353),-300,NM_144855,12411,,NM_144855,ENSMUSG00000024039,Cbs,HIP4,cystathionine beta-synthase,protein-coding
211,chr10,34206972,34207285,+,0,NA,"5' UTR (NM_172508, exon 1 of 6)","5' UTR (NM_172508, exon 1 of 6)",107,NM_172508,212898,,NM_172508,ENSMUSG00000039497,Dse,6030499O08|B130024B19Rik|DS-epi1|Sart2,dermatan sulfate epimerase,protein-coding
636,chr12,84009654,84009915,+,0,NA,"exon (NM_012006, exon 1 of 3)","exon (NM_012006, exon 1 of 3)",282,NM_012006,26897,,NM_012006,ENSMUSG00000072949,Acot1,ACH2|CTE-1|CTE-I|Cte1|D12Ucla1,acyl-CoA thioesterase 1,protein-coding
2913,chr9,40269000,40269604,+,0,NA,promoter-TSS (NM_001359700),promoter-TSS (NM_001359700),86,NM_178227,235281,,NM_153522,ENSMUSG00000049281,Scn3b,1110001K16Rik|4833414B02Rik|Scnb3,"sodium channel, voltage-gated, type III, beta",protein-coding
1288,chr17,84185627,84187254,+,0,NA,"exon (NM_001001806, exon 2 of 2)","exon (NM_001001806, exon 2 of 2)",1507,NM_001001806,12193,,NM_007565,ENSMUSG00000045817,Zfp36l2,Brf2|ERF2|Tis11d,"zinc finger protein 36, C3H type-like 2",protein-coding
1536,chr2,32757430,32757754,+,0,NA,"intron (NM_001290563, intron 14 of 14)","intron (NM_001290563, intron 14 of 14)",358,NM_001369224,30933,,NM_152800,ENSMUSG00000009563,Tor2a,Prosalusin,"torsin family 2, member A",protein-coding
2059,chr4,132048382,132048856,+,0,NA,"intron (NM_183428, intron 1 of 20)",CpG,459,NM_001128606,269587,,NM_183428,ENSMUSG00000028906,Epb41,4.1R|D4Ertd442e|Elp-1|Elp1|Epb4.1|mKIAA4056,erythrocyte membrane protein band 4.1,protein-coding
507,chr11,102665115,102666645,+,0,NA,"intron (NM_001127576, intron 1 of 7)",CpG,295,NM_001127576,268491,,NM_001127576,ENSMUSG00000051455,Meioc,Gm1564|Gm663,meiosis specific with coiled-coil domain,protein-coding
673,chr12,109053091,109053463,+,0,NA,promoter-TSS (NM_001374203),promoter-TSS (NM_001374203),39,NM_001374201,380785,,NM_001163175,ENSMUSG00000040867,Begain,Gm897,brain-enriched guanylate kinase-associated,protein-coding
502,chr11,102296887,102297400,+,0,NA,promoter-TSS (NM_001098837),promoter-TSS (NM_001098837),-514,NM_001098837,217218,,NM_001098836,ENSMUSG00000059995,Atxn7l3,E030022H21Rik,ataxin 7-like 3,protein-coding
1091,chr16,16303031,16303509,+,0,NA,"non-coding (NR_038046, exon 1 of 5)","non-coding (NR_038046, exon 1 of 5)",305,NR_038046,70120,,NM_198246,ENSMUSG00000022792,Yars2,2210023C10Rik|tyrRS,tyrosyl-tRNA synthetase 2 (mitochondrial),protein-coding
2213,chr5,97111263,97111626,+,0,NA,"5' UTR (NM_001359910, exon 1 of 7)","5' UTR (NM_001359910, exon 1 of 7)",152,NM_001359910,231474,,NM_198422,ENSMUSG00000055725,Paqr3,6330415A20Rik|RKTG,progestin and adipoQ receptor family member III,protein-coding
2689,chr8,29219171,29219646,+,0,NA,"5' UTR (NM_001347498, exon 1 of 15)","5' UTR (NM_001347498, exon 1 of 15)",228,NM_153135,210801,,NM_153135,ENSMUSG00000063626,Unc5d,D930029E11Rik|Unc5h4|mKIAA1777,unc-5 netrin receptor D,protein-coding
1307,chr18,7609133,7609643,+,0,NA,"intron (NM_001081287, intron 1 of 16)",SUBTEL_sa|Satellite|Satellite,-1234,NM_001360860,75739,,NM_001081287,ENSMUSG00000057440,Mpp7,1110068J02Rik|2810038M04Rik|5430426E14Rik|Gm955,"membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)",protein-coding
180,chr1,180483386,180483616,+,0,NA,promoter-TSS (NM_001081227),promoter-TSS (NM_001081227),3,NM_001081227,381310,,NM_001081227,ENSMUSG00000053963,Stum,6330403A02Rik|Gm10001,mechanosensory transduction mediator,protein-coding
2458,chr7,10471572,10472294,+,0,NA,Intergenic,L1Md_T|LINE|L1,23448,NM_009577,22775,,NM_009577,ENSMUSG00000030393,Zik1,-,zinc finger protein interacting with K protein 1,protein-coding
1813,chr3,89321744,89322243,+,0,NA,promoter-TSS (NM_001377121),promoter-TSS (NM_001377121),-225,NM_001377121,13638,,NM_010108,ENSMUSG00000028039,Efna3,EFL-2|Ehk1-L|Epl3|LERK-3,ephrin A3,protein-coding
2139,chr5,21786569,21787374,+,0,NA,"intron (NM_001368661, intron 1 of 11)",CpG,224,NM_001368661,19181,,NM_011188,ENSMUSG00000028932,Psmc2,-,"proteasome (prosome, macropain) 26S subunit, ATPase 2",protein-coding
2709,chr8,64947116,64947655,+,0,NA,"intron (NM_028427, intron 1 of 5)",CpG,200,NM_001163747,73067,,NM_028427,ENSMUSG00000025521,Tmem192,3110005G23Rik,transmembrane protein 192,protein-coding
863,chr14,32513487,32513929,+,0,NA,"intron (NM_001081221, intron 1 of 20)",CpG,187,NM_001081221,319955,,NM_001081221,ENSMUSG00000054051,Ercc6,4732403I04|C130058G22Rik|CSB,"excision repair cross-complementing rodent repair deficiency, complementation group 6",protein-coding
229,chr10,50426663,50426988,+,0,NA,Intergenic,RLTR4_MM-int|LTR|ERV1,-165844,NM_198007,77987,,NM_198007,ENSMUSG00000038774,Ascc3,ASC1p200|B630009I04Rik|D430001L07Rik|D630041L21|Helic1|RNAH,activating signal cointegrator 1 complex subunit 3,protein-coding
1400,chr19,4214643,4214968,+,0,NA,"intron (NM_001310039, intron 1 of 2)",CpG,380,NR_132309,105948585,,NR_132308,,Gm45928,Clcf1-pold4,"predicted gene, 45928",ncRNA
2932,chr9,50856984,50857431,+,0,NA,"intron (NM_001034085, intron 1 of 16)",CpG,283,NM_001286553,73699,,NM_028614,ENSMUSG00000032058,Ppp2r1b,2410091N08Rik,"protein phosphatase 2, regulatory subunit A, beta",protein-coding
1334,chr18,35652626,35655515,+,0,NA,"exon (NM_001270646, exon 1 of 1)","exon (NM_001270646, exon 1 of 1)",1151,NM_001270646,381148,,NM_001270646,ENSMUSG00000073600,Prob1,Gm1614,proline rich basic protein 1,protein-coding
2500,chr7,28466582,28467469,+,0,NA,"exon (NM_001141921, exon 5 of 5)","exon (NM_001141921, exon 5 of 5)",14787,NM_001141921,80749,,NM_030562,ENSMUSG00000030600,Lrfn1,SALM2|Semo1,leucine rich repeat and fibronectin type III domain containing 1,protein-coding
2785,chr8,110079632,110080234,+,0,NA,"5' UTR (NM_175480, exon 1 of 5)","5' UTR (NM_175480, exon 1 of 5)",199,NM_175480,234725,,NM_175480,ENSMUSG00000044676,Zfp612,B230354B21Rik,zinc finger protein 612,protein-coding
1317,chr18,15061913,15062170,+,0,NA,"exon (NM_001142731, exon 1 of 5)","exon (NM_001142731, exon 1 of 5)",1541,NM_001142731,106931,,NM_134112,ENSMUSG00000036225,Kctd1,4933402K10Rik,potassium channel tetramerisation domain containing 1,protein-coding
2430,chr6,127453561,127453925,+,0,NA,"5' UTR (NM_001362187, exon 1 of 8)","5' UTR (NM_001362187, exon 1 of 8)",116,NM_001362187,101187,,NM_181402,ENSMUSG00000037997,Parp11,5330431N24Rik|ARTD11|HIN1L|PARP-11,"poly (ADP-ribose) polymerase family, member 11",protein-coding
1339,chr18,36515275,36515803,+,0,NA,"5' UTR (NM_010415, exon 1 of 6)","5' UTR (NM_010415, exon 1 of 6)",266,NM_010415,15200,,NM_010415,ENSMUSG00000024486,Hbegf,Dtr|Dts|Hegfl,heparin-binding EGF-like growth factor,protein-coding
929,chr14,76413866,76414410,+,0,NA,promoter-TSS (NM_001310646),promoter-TSS (NM_001310646),-823,NM_001310646,21807,,NM_009366,ENSMUSG00000022010,Tsc22d1,Egr5|Gm19597|TSC-22|Tgfb1i4|Tsc|Tsc22,"TSC22 domain family, member 1",protein-coding
1164,chr17,3006819,3007331,+,0,NA,Intergenic,Intergenic,77108,NR_003519,328734,,NR_003519,,Pisd-ps2,D030013I16Rik,"phosphatidylserine decarboxylase, pseudogene 2",pseudo
3076,chrX,20059680,20060751,+,0,NA,"exon (NM_021715, exon 1 of 2)","exon (NM_021715, exon 1 of 2)",645,NM_021715,60322,,NM_021715,ENSMUSG00000037347,Chst7,2600013M07Rik|C6ST-2|GST5|Gn6st-4|glcNAc6ST-4,carbohydrate sulfotransferase 7,protein-coding
243,chr10,77622103,77622882,+,0,NA,"intron (NM_019803, intron 1 of 5)",CpG,171,NM_019803,22213,,NM_019803,ENSMUSG00000009293,Ube2g2,1110003O05Rik|D10Xrf369|UBC7|Ubc7p,ubiquitin-conjugating enzyme E2G 2,protein-coding
2820,chr8,123557323,123558089,+,0,NA,promoter-TSS (NR_046155),promoter-TSS (NR_046155),-98,NR_046140,100861488,,NR_046140,ENSMUSG00000119493,Gm26391,Rn5s17,"predicted gene, 26391",rRNA
41,chr1,17097192,17097964,+,0,NA,"exon (NM_020604, exon 1 of 5)","exon (NM_020604, exon 1 of 5)",311,NM_020604,57339,,NM_020604,ENSMUSG00000042686,Jph1,JP-1|Jp1,junctophilin 1,protein-coding
1785,chr3,61364555,61365509,+,0,NA,"5' UTR (NM_028712, exon 1 of 1)","5' UTR (NM_028712, exon 1 of 1)",525,NM_028712,74012,,NM_028712,ENSMUSG00000036894,Rap2b,4021402C18Rik,"RAP2B, member of RAS oncogene family",protein-coding
3044,chr9,119339694,119340174,+,0,NA,promoter-TSS (NM_010851),promoter-TSS (NM_010851),84,NM_010851,17874,,NM_010851,ENSMUSG00000032508,Myd88,-,myeloid differentiation primary response gene 88,protein-coding
2067,chr4,133479792,133480978,+,0,NA,"exon (NM_175307, exon 1 of 2)","exon (NM_175307, exon 1 of 2)",252,NM_175307,100342,,NM_175307,ENSMUSG00000046694,Tent5b,4732473B16Rik|Fam46b,terminal nucleotidyltransferase 5B,protein-coding
2971,chr9,67830812,67831754,+,0,NA,"exon (NM_001163143, exon 2 of 2)","exon (NM_001163143, exon 2 of 2)",1047,NM_001163143,244911,,NM_001163143,ENSMUSG00000047990,C2cd4a,EG244911|Fam148a,C2 calcium-dependent domain containing 4A,protein-coding
590,chr12,46818469,46818855,+,0,NA,"exon (NM_021361, exon 1 of 5)","exon (NM_021361, exon 1 of 5)",105,NM_001364635,664883,,NM_021361,ENSMUSG00000021047,Nova1,9430099M15Rik|G630039L02|Nova-1,NOVA alternative splicing regulator 1,protein-coding
2258,chr5,131306930,131307944,+,0,NA,promoter-TSS (NM_145218),promoter-TSS (NM_145218),85,NM_145218,212996,,NM_145218,ENSMUSG00000034040,Galnt17,E330012B09Rik|Galnt19|Gcap8|Wbscr17,polypeptide N-acetylgalactosaminyltransferase 17,protein-coding
386,chr11,69235847,69236874,+,0,NA,"exon (NM_008192, exon 2 of 19)","exon (NM_008192, exon 2 of 19)",662,NM_008192,14919,,NM_008192,ENSMUSG00000020890,Gucy2e,GC-E|GC1|ROS-GC1,guanylate cyclase 2e,protein-coding
2777,chr8,105854889,105855810,+,0,NA,"5' UTR (NM_021513, exon 1 of 1)","5' UTR (NM_021513, exon 1 of 1)",246,NM_021513,59016,,NM_021513,ENSMUSG00000036442,Thap11,2810036E22Rik|CTG-B43a|CTG-B45d|Ronin,THAP domain containing 11,protein-coding
321,chr11,12146093,12146393,+,0,NA,Intergenic,L1Md_A|LINE|L1,-108823,NM_001370603,14783,,NM_010345,ENSMUSG00000020176,Grb10,5730571D09Rik|Meg1|mKIAA0207,growth factor receptor bound protein 10,protein-coding
106,chr1,91458900,91459374,+,0,NA,"intron (NM_011066, intron 1 of 22)",CpG,191,NM_011066,18627,,NM_011066,ENSMUSG00000055866,Per2,mKIAA0347|mPer2,period circadian clock 2,protein-coding
1133,chr16,76373231,76373865,+,0,NA,promoter-TSS (NM_173440),promoter-TSS (NM_173440),279,NM_001358238,268903,,NM_173440,ENSMUSG00000048490,Nrip1,6030458L20Rik|8430438I05Rik|9630050P12|RIP140,nuclear receptor interacting protein 1,protein-coding
2370,chr6,85483907,85484862,+,0,NA,"exon (NM_001001160, exon 3 of 14)","exon (NM_001001160, exon 3 of 14)",18610,NM_001001160,330369,,NM_001001160,ENSMUSG00000047013,Fbxo41,9630017H13|D6Ertd538e,F-box protein 41,protein-coding
2870,chr9,3012250,3013534,+,0,NA,Intergenic,GSAT_MM|Satellite|Satellite,25851,NR_039546,100628572,,NR_039546,ENSMUSG00000106183,Mir101c,mir-101c|mmu-mir-101c,microRNA 101c,ncRNA
2497,chr7,28293989,28294863,+,0,NA,"exon (NM_007866, exon 7 of 9)","exon (NM_007866, exon 7 of 9)",-3240,NM_175033,280621,,NM_175033,ENSMUSG00000046750,Selenov,Selv,selenoprotein V,protein-coding
1998,chr4,106316486,106316842,+,0,NA,"exon (NM_183225, exon 1 of 68)","exon (NM_183225, exon 1 of 68)",451,NM_183225,329908,,NM_183225,ENSMUSG00000028514,Usp24,2700066K03Rik|2810030C21Rik|B130021E18,ubiquitin specific peptidase 24,protein-coding
1381,chr18,70529777,70530216,+,0,NA,"5' UTR (NM_001136090, exon 1 of 10)","5' UTR (NM_001136090, exon 1 of 10)",325,NM_001289516,26447,,NM_011972,ENSMUSG00000038425,Poli,Rad30b,"polymerase (DNA directed), iota",protein-coding
2804,chr8,122336257,122337413,+,0,NA,"exon (NM_009569, exon 10 of 10)","exon (NM_009569, exon 10 of 10)",25993,NM_133202,170732,,NM_133202,ENSMUSG00000039079,Trhr2,TRH-R2,thyrotropin releasing hormone receptor 2,protein-coding
2517,chr7,38085530,38085827,+,0,NA,Intergenic,Intergenic,21812,NM_007633,12447,,NM_007633,ENSMUSG00000002068,Ccne1,CycE1,cyclin E1,protein-coding
776,chr13,75707027,75708283,+,0,NA,"exon (NM_138953, exon 1 of 12)","exon (NM_138953, exon 1 of 12)",171,NM_138953,192657,,NM_138953,ENSMUSG00000001542,Ell2,-,elongation factor for RNA polymerase II 2,protein-coding
14,JH584304.1,84774,85221,+,0,NA,NA,NA,NA,NA,,,,,,,,
2725,chr8,71525330,71525965,+,0,NA,promoter-TSS (NM_001370849),promoter-TSS (NM_001370849),78,NM_001370849,619297,,NM_001370849,ENSMUSG00000108900,Ccdc194,C430049E01Rik,coiled-coil domain containing 194,protein-coding
3024,chr9,107709339,107709656,+,0,NA,"5' UTR (NM_001379496, exon 1 of 18)","5' UTR (NM_001379496, exon 1 of 18)",465,NM_001379496,20350,,NM_011349,ENSMUSG00000034684,Sema3f,Sema4|Semak,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",protein-coding
711,chr13,21169480,21170418,+,0,NA,Intergenic,Intergenic,-9982,NM_009054,19720,,NM_009054,ENSMUSG00000021326,Trim27,Gm19403|Rfp,tripartite motif-containing 27,protein-coding
468,chr11,97018542,97019516,+,0,NA,"intron (NM_001363230, intron 1 of 1)",CpG,287,NM_001363230,83395,,NM_031183,ENSMUSG00000038560,Sp6,1110025J03Rik|Epfn|Klf14,trans-acting transcription factor 6,protein-coding
465,chr11,96251363,96251658,+,0,NA,promoter-TSS (NR_037977),promoter-TSS (NR_037977),-150,NR_037977,193022,,NR_037977,,Gm53,-,predicted gene 53,ncRNA
552,chr11,120659842,120661298,+,0,NA,"intron (NM_001382270, intron 1 of 11)",CpG-2953,267,NM_175263,77583,,NM_175263,ENSMUSG00000042988,Notum,5730593N15Rik,notum palmitoleoyl-protein carboxylesterase,protein-coding
641,chr12,84569940,84570323,+,0,NA,"exon (NM_007701, exon 1 of 5)","exon (NM_007701, exon 1 of 5)",303,NM_007701,12677,,NM_007701,ENSMUSG00000021239,Vsx2,Chx10|Hox-10|Hox10|or,visual system homeobox 2,protein-coding
1868,chr3,122984638,122985126,+,0,NA,promoter-TSS (NM_133857),promoter-TSS (NM_133857),-435,NM_133857,99526,,NM_133857,ENSMUSG00000039701,Usp53,Phxr3|Sp6|mKIAA1350|mbo,ubiquitin specific peptidase 53,protein-coding
2140,chr5,22344890,22345402,+,0,NA,promoter-TSS (NM_011261),promoter-TSS (NM_011261),-441,NM_001310464,19699,,NM_011261,ENSMUSG00000042453,Reln,reeler|rl,reelin,protein-coding
2155,chr5,30711353,30711743,+,0,NA,promoter-TSS (NM_001356949),promoter-TSS (NM_001356949),-16,NM_023047,65254,,NM_023047,ENSMUSG00000029168,Dpysl5,CRAM|CRMP-5|Crmp5,dihydropyrimidinase-like 5,protein-coding
2787,chr8,111643429,111644043,+,0,NA,"intron (NR_156446, intron 1 of 2)",CpG,293,NR_156445,22640,,NM_011742,ENSMUSG00000055835,Zfp1,Fnp-1|Zfp-1|mkr-1,zinc finger protein 1,protein-coding
1270,chr17,65772404,65773015,+,0,NA,promoter-TSS (NM_133685),promoter-TSS (NM_133685),43,NM_133685,106572,,NM_133685,ENSMUSG00000056515,Rab31,1700093E07Rik|Rab22B,"RAB31, member RAS oncogene family",protein-coding
1170,chr17,3326427,3327205,+,0,NA,"intron (NM_001122998, intron 1 of 26)",CpG,243,NM_001122998,24001,,NM_011878,ENSMUSG00000023800,Tiam2,3000002F19Rik|STEF|mKIAA2016,T cell lymphoma invasion and metastasis 2,protein-coding
1687,chr2,155276473,155277004,+,0,NA,"intron (NR_046364, intron 1 of 2)",CpG,374,NR_046364,66734,,NM_025735,ENSMUSG00000027602,Map1lc3a,1010001H21Rik|4922501H04Rik|LC3|LC3a,microtubule-associated protein 1 light chain 3 alpha,protein-coding
3096,chrX,73503535,73503781,+,0,NA,"intron (NM_177236, intron 1 of 20)","intron (NM_177236, intron 1 of 20)",572,NM_177236,320707,,NM_177236,ENSMUSG00000031376,Atp2b3,6430519O13Rik|Pmca3,"ATPase, Ca++ transporting, plasma membrane 3",protein-coding
1805,chr3,87525514,87525833,+,0,NA,promoter-TSS (NM_001359750),promoter-TSS (NM_001359750),95,NM_012051,27049,,NM_012051,ENSMUSG00000003382,Etv3,METS|Pe1,ets variant 3,protein-coding
2863,chr8,126422534,126422822,+,0,NA,"5' UTR (NM_174987, exon 1 of 2)","5' UTR (NM_174987, exon 1 of 2)",177,NM_174987,67892,,NM_174987,ENSMUSG00000051671,Coa6,1810063B05Rik,cytochrome c oxidase assembly factor 6,protein-coding
1043,chr15,93397923,93398532,+,0,NA,promoter-TSS (NM_175363),promoter-TSS (NM_175363),107,NM_001347097,67197,,NM_026025,ENSMUSG00000022635,Zcrb1,2700088M22Rik|Madp-1,zinc finger CCHC-type and RNA binding motif 1,protein-coding
2708,chr8,60983124,60983825,+,0,NA,promoter-TSS (NM_173874),promoter-TSS (NM_173874),-163,NM_173873,12725,,NM_007711,ENSMUSG00000004319,Clcn3,Clc3,"chloride channel, voltage-sensitive 3",protein-coding
1100,chr16,18591617,18591874,+,0,NA,Intergenic,CpG,-1074,NM_001285472,21380,,NM_011532,ENSMUSG00000009097,Tbx1,nmf219,T-box 1,protein-coding
